id_,created_at,tweetID,tweet,username,id_str,name,entity,likes,retweets,quotes,replies,sentiment,bidang,gender,link,imageUrl
1,2023-01-01 13:50:44,1609547674893844481,"Hallo, sobat Nedutase Lepas Sambut Kepala SMK Negeri 2 Kota Tangerang Selatan Terima kasih Ibu Hj. Dwi Novi Hardani S.Pd Dan selamat datang Bpk. Akhmad Basuni, S.Pd.I, MA.Pd",TangselSmkn2,1414792059257380864,SMKN2Tangsel,Daihatsu,NULL,NULL,NULL,1,Netral,NULL,NULL,https://twitter.com/TangselSmkn2,https://pbs.twimg.com/profile_images/1559749709559803904/Npa1oTm1_200x200.jpg
2,2023-01-01 11:00:01,1609504712012795907,Shin Tae-yong selaku pelatih kepala Timnas Indonesia didampingi Ricky Kambuaya mengikuti Pre Match Press Conference jelang laga kontra Filipina dalam gelaran Piala AFF 2022 pada Minggu (1/1)...,PSSI,2363027508,PSSI,Mitsubishi,1837302,159,24686,31,Netral,NULL,NULL,https://twitter.com/PSSI/status/1609504712012795907,https://pbs.twimg.com/media/FlYVvBCaUAA-LHy.jpg:large
3,2023-01-02 9:41:59,1609847465347543042,SUZUKI XL 7 Jawabannya! Tampilan eksterior Suzuki XL7 tampil lebih gagah. Grill hadir dengan tambahan nuansa chrome membuatnya lebih mewah. Desain bumper dan foglamp kini terlihat menonjolkan...,GampongSuzuki,971377286,Gampong Suzuki,Suzuki,140,72,1510,0,Positif,NULL,NULL,https://twitter.com/GampongSuzuki/status/1609847465347543042,https://pbs.twimg.com/media/FldTuxJakAQTrqR.jpg:large
4,2023-01-03 7:19:49,1610174074210160641,Baru saja mengirim foto @ TOYOTA PERINTIS GATSU MEDANTranslate post,toyotamedan_id,732457105,Toyota Medan 082167506001,Toyota,642,1,757,0,Netral,NULL,NULL,https://twitter.com/toyotamedan_id/status/1610174074210160641,https://pbs.twimg.com/profile_images/1470988601471094785/rpGHWr8R_200x200.jpg
5,2023-01-03 2:29:01,1610100893583806465,DIJUAL BMW E30 318i Mesin M10 Plat R Pajak On Bodi mulus ( selesai restorasi ) Mesin sehat kering Lantai tidak keropos ( selesai restorasi ) Minus : Jok sobek Kancing laci dasboard lepas Lokasi...,HoldenKlasik,1391235014,Suka Mobil Tua,BMW,154655,402,96590,1,Netral,NULL,NULL,https://twitter.com/HoldenKlasik/status/1610100893583806465,https://pbs.twimg.com/media/Flg6NOsaUAAS5FA.jpg:large
6,2023-01-03 14:44:53,1610286080556937216,"Semifinal AFF Mitsubishi Electric Cup 2022 Timnas Indonesia akan menghadapi Vietnam, Indonesia menjadi tuan rumah terlebih dahulu. Duel Shin Tae Yong vs Park Hang Seo akan kembali tersaji ??...",Liga1Match23,1432645187348492289,BRI Liga 1 2023/24,Mitsubishi,7627,30,5000,6,Netral,NULL,NULL,https://twitter.com/Liga1Match23/status/1610286080556937216,https://pbs.twimg.com/media/FljipyWaYAIbj0g.jpg:large
7,2023-01-03 1:59:12,1610093388287864833,"Hari Perlawanan 5 | Selasa, 3 Januari 2023 Kumpulan B • Piala Mitsubishi Electric AFF 2022 ⚽️ MALAYSIA ?? ?️ ?? SINGAPURA ? 8.30 malam ini ? Stadium Nasional, Bukit...",FAM_Malaysia,3191632944,FA Malaysia,Mitsubishi,183527,63,18353,9,Netral,NULL,NULL,https://twitter.com/FAM_Malaysia/status/1610093388287864833,https://pbs.twimg.com/media/FlgzZqOacAEWoxj.jpg:large
8,2023-01-04 3:57:42,1610485597495529475,"Terima kasih kepada 65,147 orang penyokong yang hadir menyaksikan aksi terakhir Kumpulan B, Piala Mitsubishi Electric AFF 2022, Malaysia lwn Singapura di Stadium Nasional, Bukit Jalil, malam...",FAM_Malaysia,3191632944,FA Malaysia,Mitsubishi,183618,63,18371,17,Positif,NULL,NULL,https://twitter.com/FAM_Malaysia/status/1610485597495529475,https://pbs.twimg.com/media/FlmYFgzacAAl9Yt.jpg:large
9,2023-01-04 2:00:06,1610456002306113539,"? Pasukan kebangsaan ?? akan bertemu Thailand ?? pada aksi timbal balik peringkat separuh akhir Piala Mitsubishi Electric AFF 2022! Selamat berjuang, Harimau Malaya! ? #AFFMitsubi...",MFL_MY,3247390147,Malaysian Football League,Mitsubishi,126569,44,36718,3,Positif,NULL,NULL,https://twitter.com/MFL_MY/status/1610456002306113539,https://pbs.twimg.com/media/Fll8LbBaAAAvVQ5.jpg:large
10,2023-01-05 16:12:23,1611032872881881089,For Sale Toyota Crown Lele... Custom 2 pintu.. Kondisi rapi mulus... SS komplit... Mesin lari Interior top.. Penasaran bisa langsung di WhatsApp aja info lengkap dan harga : 082213701648Translate post,HoldenKlasik,1391235014,Suka Mobil Tua,Toyota,154264,403,96531,1,Positif,NULL,NULL,https://twitter.com/HoldenKlasik/status/1611032872881881089,https://pbs.twimg.com/media/FluJ2FiakAAdvjm.jpg:large
